video_uid,origin_video_id,component_index,parent_start_sec,parent_end_sec,cvdf_source_location
77cc4654-4eec-44c6-af05-dbdf71f9a401,subject00005_video00010,0,0.0,300.0,s3://ego4d-minnesota/subject00005/video00010/part000.MP4
77cc4654-4eec-44c6-af05-dbdf71f9a401,subject00005_video00010,1,300.0,600.0,s3://ego4d-minnesota/subject00005/video00010/part001.MP4
77cc4654-4eec-44c6-af05-dbdf71f9a401,subject00005_video00010,2,600.0,900.0,s3://ego4d-minnesota/subject00005/video00010/part002.MP4
77cc4654-4eec-44c6-af05-dbdf71f9a401,subject00005_video00010,3,900.0,1200.0,s3://ego4d-minnesota/subject00005/video00010/part003.MP4
77cc4654-4eec-44c6-af05-dbdf71f9a401,subject00005_video00010,4,1200.0,1247.13,s3://ego4d-minnesota/subject00005/video00010/part004.MP4
3e08beb0-9108-4e77-b2ae-80f91ceac474,unict_005_0019,0,0.0,603.83,s3://ego4d-unict/videos/unict_005_0019/mp4_data/video_chunk_00.mp4
3e08beb0-9108-4e77-b2ae-80f91ceac474,unict_005_0019,1,0.0,603.83,videos/unict_005_0019/imu_data/video_chunk_00.csv
ab9b7b7c-33ad-4358-929f-8b36b719f45f,009_0620_0029,0,0.0,146.03,s3://ego4d-kaust/batch2/009/009_0620_0029/imu/GH010029-imu.csv
ab9b7b7c-33ad-4358-929f-8b36b719f45f,009_0620_0029,1,0.0,146.03,s3://ego4d-kaust/batch2/009/009_0620_0029/videos/GH010029.mp4
20bd786f-d222-4b0e-ad2c-a2381929cf78,unict_020_0123,0,0.0,796.57,s3://ego4d-unict/videos/unict_020_0123/mp4_data/video_chunk_00.mp4
20bd786f-d222-4b0e-ad2c-a2381929cf78,unict_020_0123,1,0.0,796.57,videos/unict_020_0123/imu_data/video_chunk_00.csv
20bd786f-d222-4b0e-ad2c-a2381929cf78,unict_020_0123,2,796.57,1593.14,videos/unict_020_0123/imu_data/video_chunk_01.csv
20bd786f-d222-4b0e-ad2c-a2381929cf78,unict_020_0123,3,796.57,1593.14,s3://ego4d-unict/videos/unict_020_0123/mp4_data/video_chunk_01.mp4
20bd786f-d222-4b0e-ad2c-a2381929cf78,unict_020_0123,4,1593.14,2389.71,s3://ego4d-unict/videos/unict_020_0123/mp4_data/video_chunk_02.mp4
20bd786f-d222-4b0e-ad2c-a2381929cf78,unict_020_0123,5,1593.14,2389.71,videos/unict_020_0123/imu_data/video_chunk_02.csv
20bd786f-d222-4b0e-ad2c-a2381929cf78,unict_020_0123,6,2389.71,2695.81,s3://ego4d-unict/videos/unict_020_0123/mp4_data/video_chunk_03.mp4
20bd786f-d222-4b0e-ad2c-a2381929cf78,unict_020_0123,7,2389.71,2695.81,videos/unict_020_0123/imu_data/video_chunk_03.csv
9b49246f-30e9-476f-ab8c-56a1bcb1d936,021_0628_0324,0,0.0,532.07,s3://ego4d-kaust/batch1/021/021_0628_0324/videos/GH012324.mp4
9b49246f-30e9-476f-ab8c-56a1bcb1d936,021_0628_0324,1,0.0,532.07,s3://ego4d-kaust/batch1/021/021_0628_0324/imu/GH012324-imu.csv
9b49246f-30e9-476f-ab8c-56a1bcb1d936,021_0628_0324,2,532.07,1064.14,s3://ego4d-kaust/batch1/021/021_0628_0324/imu/GH022324-imu.csv
9b49246f-30e9-476f-ab8c-56a1bcb1d936,021_0628_0324,3,532.07,1064.14,s3://ego4d-kaust/batch1/021/021_0628_0324/videos/GH022324.mp4
9b49246f-30e9-476f-ab8c-56a1bcb1d936,021_0628_0324,4,1064.14,1596.21,s3://ego4d-kaust/batch1/021/021_0628_0324/imu/GH032324-imu.csv
9b49246f-30e9-476f-ab8c-56a1bcb1d936,021_0628_0324,5,1064.14,1596.21,s3://ego4d-kaust/batch1/021/021_0628_0324/videos/GH032324.mp4
9b49246f-30e9-476f-ab8c-56a1bcb1d936,021_0628_0324,6,1596.21,2128.28,s3://ego4d-kaust/batch1/021/021_0628_0324/videos/GH042324.mp4
