video_uid,origin_video_id,video_source,duration_sec,scenarios,device,deid_scrubbed_audio,deid_scrubbed_faces,example_clip_url,example_manifold_path,physical_setting_name,scan_cvdf_source_location,fb_participant_id
000a3525-6c98-4650-aaab-be7d2c7b9402,P8_0096,cmu,21.43,['Car mechanic'],GoPro Hero Black 8,0,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/10000000_925399574866841_5572310244959997757_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=2d4c1f88c003ea30b6fdac2ab74c42bb&oe=6071EF18&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/b4048c6e-7a06-4526-9942-042159a60d0a.mp4,None,None,44
00277df3-9107-4592-ba85-b8d054149551,P8_0151,cmu,100.47,['Car mechanic'],GoPro Hero Black 8,0,0,None,manifold://ego4d_fair/tree/clip/00e56ac9-525d-48c7-89a1-f404da6c497d.mp4,None,None,44
0031d268-818c-4ec4-a804-935be610a61a,P4_0023,cmu,1987.9300000000003,['Carpenter'],GoPro Hero Black 8,0,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/10000000_441417233763942_7450447290622826570_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=48f090b32892c193903428a410603683&oe=607376EA&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/02c004b6-7d67-4151-83fb-1014099e875d.mp4,None,None,55
003b145d-42d3-470d-b987-8a489c42f2f8,10_sid_2020_1026_153715_001,utokyo,117.67,['Participating in a meeting'],Weeview ,1,0,None,manifold://ego4d_fair/tree/clip/0c8c3e6f-6c4a-49c5-af0b-2ee86c24f895.mp4,None,None,171
0051a756-bce3-4cf2-adb2-3c4b5cde6711,subject00004_video00003,minnesota,191.47,[],Zshade,0,0,None,manifold://ego4d_fair/tree/clip/b894dfd7-397c-484b-88e1-6fcf237f515c.mp4,None,None,134
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,unict_001_0154,unict,569.27,['Scooter mechanic'],GoPro Hero Black 7,0,1,https://interncache-frc.fbcdn.net/v/t53.39266-7/10000000_423578955386193_4211797003149370287_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=3de84db6128e4474c6394c6d74f83a92&oe=6072D220&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/bbd08a6c-1309-46ac-9e3e-a8cef3fad592.mp4,Scooter mechanic,s3://ego4d-unict/3dscans/unict_3dscan_001/,29
0075dfd4-03b2-48c3-bde1-d7851bc8e367,subject00012_video00017,minnesota,1200.0,"['Car - commuting, road trip']",Zshade,0,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/47659196_212537427286752_7552721235722011538_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=cc439c146f034e5a85d73b91a871d8c0&oe=60726D9E&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/008349e0-fe3a-4d22-82e1-04a35e23fb28.mp4,None,None,139
007cb0df-4f4f-4810-b246-8ba6639f53e1,unict_021_1012,unict,549.38,['Carpenter'],GoPro Hero 4,1,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/46497029_770112230302954_7563329862645240394_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=275829466761b7e7e1a3e3459ef08025&oe=607180B0&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/01080836-e415-4e26-a0e1-6649e1db4b39.mp4,None,None,19
00aaf182-c2c5-4891-80f1-ef01b2bc9729,subject00019_video00004,minnesota,23.77,['Indoor Navigation (walking)'],Zshade,1,0,None,manifold://ego4d_fair/tree/clip/aea87b7d-d77b-49ec-883f-52f11d6f487a.mp4,None,None,133
00dec6a0-dd5f-4024-91cf-a4b7c92d1242,unict_021_0964,unict,199.85,['Carpenter'],GoPro Hero 4,1,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/41981428_106337684729556_1840846090208761500_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=650934c476e34b64c40c928bacadb756&oe=60739C02&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/06b8efd2-df1f-4cd7-8fcd-7d589ad32af4.mp4,None,None,19
00eab18b-912b-44ec-bca8-c76e94e9e260,1_sid_2020_1026_112412_001,utokyo,574.8,['Participating in a meeting'],Weeview ,1,0,None,manifold://ego4d_fair/tree/clip/1e141072-11af-4212-9b06-dad52e9770d4.mp4,None,None,157
00faddcc-06e3-4105-94e0-f6b47b4b62de,10_sid_2020_1116_151021_001,utokyo,1461.87,['Participating in a meeting'],Weeview ,1,0,None,manifold://ego4d_fair/tree/clip/61664732-86ce-47d1-b2b4-da9e23c7ec28.mp4,None,None,175
0123d797-c17d-42db-8268-53150a0641ad,unict_027_1054,unict,176.1,['Scooter mechanic'],GoPro Hero 4,1,0,None,manifold://ego4d_fair/tree/clip/0cfd0bbe-e81f-4af4-a563-d413895f25a0.mp4,None,None,24
014b473f-aec0-49c7-b394-abc7309ca3c7,0460_007_085_002_006_075_002,iiith,542.27,['Farmer'],GoPro Hero Black 7,1,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/10000000_902559417248161_3668413561847219030_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=bfbfbd2212b24e719644a2c0061448ce&oe=6073E047&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/2270119b-859a-47ab-b0b4-28223965b080.mp4,None,None,110
018b7ef7-2a81-4451-ab60-a638b5ee501b,P42_0226,cmu,988.53,"['jobs related to construction/renovation company\n(Director of work, tiler, plumber, Electrician, Handyman, etc)']",GoPro Hero Black 8,0,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/47663050_897889177727314_2599241988883782134_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=106175f2256f39fe15a037720bb8f999&oe=6070BF65&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/0e14c539-777d-4354-acb7-749d4092f08d.mp4,None,None,54
0198379f-f092-4e7d-9335-b5121ebd64ba,unict_021_1017,unict,519.68,['Carpenter'],GoPro Hero 4,1,0,None,manifold://ego4d_fair/tree/clip/030bb0fa-1482-4334-a3c7-3180f578d8f5.mp4,None,None,19
019a251b-f3fb-4fc9-82dc-ca1b9fe42e12,P8_0228,cmu,519.1,['Car mechanic'],GoPro Hero Black 8,0,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/10000000_1682366018637217_6604928321968859036_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=ce408eacc6512c2660999d5830588801&oe=60707640&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/5e617062-4af6-47d5-8d24-d5f132d841ef.mp4,None,None,44
01d793c6-e235-4af1-8a1d-c70dcf0c8654,unict_025_0006,unict,647.24,"['jobs related to construction/renovation company\n(Director of work, tiler, plumber, Electrician, Handyman, etc)']",GoPro Hero Black 8,1,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/47661609_1811175955701032_9193440373619079805_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=2948d82da78d29a0fc0dae813f589326&oe=6070B320&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/00b92879-96a1-4689-b60f-840708087c1c.mp4,None,None,39
01db7c39-a512-4bac-b284-dff8c7360e80,P39_0093,cmu,684.4000000000001,['Carpenter'],GoPro Hero Black 8,0,0,None,manifold://ego4d_fair/tree/clip/00118bcb-cd42-4add-a6fe-2ade31536775.mp4,None,None,51
01dcc50d-d560-49cf-aff7-c9a7dfdddbaa,P8_0154,cmu,221.33,['Car mechanic'],GoPro Hero Black 8,0,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/44415136_880614895840406_5884526532157165305_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=427c05720f8af2b467d8e4a89180b23c&oe=6072C652&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/00e48828-31ac-44d9-8086-eba0e3b40632.mp4,None,None,44
01f812c8-a0ed-42aa-8c3e-71eed10c9323,P6_0052,cmu,121.0,['Crafting/knitting/sewing/drawing/painting'],GoPro Hero Black 8,0,0,None,manifold://ego4d_fair/tree/clip/b281a155-ca46-4c8d-bad9-0626eefa5543.mp4,None,None,45
020f30ad-0a70-4aaf-835b-fb394830b06c,unict_023_1032,unict,196.37,['Baker'],GoPro Hero 4,1,0,https://interncache-frc.fbcdn.net/v/t53.39266-7/42227568_1059949391155681_1513636436619563789_n.mp4?efg=eyJ1cmxnZW4iOiJ1cmxnZW5fY3BwX2NsaWVudC90eXBlcy9ldnN0L2hhbmRsZSJ9&oh=16cdb0239ed0565dbe5ecc7563160981&oe=607165CB&_nc_sid=3c55f4,manifold://ego4d_fair/tree/clip/04252912-b546-4a79-b7dd-88aa48a51500.mp4,None,None,37
0219271c-7641-4e17-a00c-81c42e0d4779,2_sid_2020_1116_104937_001,utokyo,1501.0,['Participating in a meeting'],Weeview ,1,0,None,manifold://ego4d_fair/tree/clip/30723f3c-0ea4-44ae-8979-4306b71f343c.mp4,None,None,192
